Issue key,Issue id,Summary,Labels,Labels,Labels,Labels,Labels,Custom field (Closed Date),Created,Custom field (Rejected Date)
SWDEV-251392,1693616,[Gibraltar] 161384191 - release VFs issue with v540,"CST,",Gibraltar,,,,,07/Sep/20 2:14 PM,
SWDEV-251108,1691683,[Gibraltar] 167411404 Unable to get wave state from VM on gfx10,"CST,",Gibraltar,,,,,03/Sep/20 10:00 AM,
SWDEV-250766,1689510,[Gibraltar] 167388961 [libgv][v540] kernel crash - unable to handle kernel paging request,"CST,",Gibraltar,,,,,01/Sep/20 12:40 PM,
SWDEV-250634,1688770,[Gibraltar] 167294189 gpuvsmi_allocate_vf failed with error No slot available:-12,"CST,",Gibraltar,,,,,01/Sep/20 12:08 AM,
SWDEV-250633,1688767,[Gibraltar] 167294189 gpuvsmi_allocate_vf failed with error No slot available:-12,"CST,",Gibraltar,,,,,01/Sep/20 12:07 AM,01/Sep/20 12:13 AM
SWDEV-250073,1685626,[Gibraltar]  166648026 libsmi init fails on instinct_mi25 gpu systems ,"CST,",Gibraltar,,,,,27/Aug/20 3:05 PM,27/Aug/20 7:29 PM
SWDEV-248748,1677264,[Gibraltar] 165029479 Kernel traceback - amdgv_mm_rreg,"CST,",Gibraltar,,,,,18/Aug/20 6:20 PM,
SWDEV-248580,1676179,[Gibraltar]165016074 remote mgmt upgrade is flaky,"CST,",Gibraltar,,,,,17/Aug/20 6:22 PM,
SWDEV-248235,1673622,[Gibraltar] 164190370 libsmi 2.0.1.2 compile errors,"CST,",Gibraltar,SMILIB,,,,13/Aug/20 5:31 PM,
SWDEV-247685,1670564,[Gibraltar] 162779075 Uncorr ECC not supported in 113-D0531800-C04,"CST,",Gibraltar,MUST_FIX,,,,10/Aug/20 11:58 PM,
SWDEV-247436,1668456,[Gibraltar] 163149952 [libgv][v340] Kernel traceback - amdgv_misc_clear_vf_fb,"CST,",Gibraltar,,,,,07/Aug/20 5:09 PM,
SWDEV-247403,1668292,[Gibraltar] 163148304  [libgv][v340] NULL ptr deference causing kernel crash,CST,Gibraltar,MUST_FIX,,,18/Aug/20 1:18 PM,07/Aug/20 2:34 PM,
SWDEV-246887,1664968,[Gibraltar] 162600614 GIM crashes when BAR0 is unassigned,"CST,",Gibraltar,,,,,04/Aug/20 7:45 PM,
SWDEV-246745,1663886,[Gibraltar] 162777210 vega + libgv (with mactruck) returns invalid mem_usage,"CST,",Gibraltar,MUST_FIX,SMILIB,,,03/Aug/20 6:33 PM,
SWDEV-246557,1662457,[Gibraltar] 162454034 - libgv/libsmi did not detect a GPU,CST,Gibraltar,,,,,30/Jul/20 1:16 PM,
SWDEV-245938,1658685,[Gibraltar] 162097810 SMU errors and driver crash on libgv 2.0.1 and v540,"CST,",Gibraltar,,,,,24/Jul/20 5:27 PM,
SWDEV-244708,1650824,[Gibraltar] 161384191 - release VFs issue with v540,"CST,",Gibraltar,,,,14/Aug/20 12:29 AM,15/Jul/20 5:17 PM,14/Aug/20 12:29 AM
SWDEV-244666,1650389,[Gibraltar] 161260372 - Kernel tracback on libgv + v340 - amdgv_vbios_atom_init,"CST,",Gibraltar,,,,,15/Jul/20 11:37 AM,
SWDEV-244665,1650384,[Gibraltar] 161304209 - libgv 2.0.1 compile errors,CST,Gibraltar,,,,28/Jul/20 12:51 PM,15/Jul/20 11:34 AM,
SWDEV-244616,1650018,[Gibraltar] 161253351 - SMU is not responding on libgv + V340 machines,"CST,",Gibraltar,,,,,15/Jul/20 3:36 AM,
SWDEV-244562,1649662,[Gibraltar] 161180209 - missing GPU after upgrading Rm firmware,"CST,",Gibraltar,,,,18/Aug/20 11:03 AM,14/Jul/20 4:35 PM,
SWDEV-244545,1649581,[Gibraltar] 160800707 amdgpu loading issues on rome + semitruck + v340,CST,Gibraltar,,,,21/Jul/20 4:24 PM,14/Jul/20 3:13 PM,
DIAG-8060,1645074,diagtool tserver utility fails to run,CST,Gibraltar,,,,,08/Jul/20 8:27 PM,18/Aug/20 12:50 PM
SWDEV-243141,1641244,[Gibraltar] 160336350 gpuvsmi_test_init tests fail if order is changed,"CST,",Gibraltar,SMILIB,,,,02/Jul/20 3:40 PM,
SWDEV-242071,1634612,[Gibraltar] 159157275 xgemm failures on gpus in MiM,"CST,",Gibraltar,,,,,23/Jun/20 3:23 PM,21/Jul/20 1:48 AM
SWDEV-240856,1627568,[Gibraltar] 159029890 eeprom write failures on v540 PS cards,"CST,",Gibraltar,,,,,15/Jun/20 5:42 PM,14/Jul/20 1:39 PM
SWDEV-240229,1623594,[Gibraltar] 158700057 smit init failing on navi12 machine with Libgv 2.0,"CST,",Gibraltar,,,,,10/Jun/20 7:15 PM,16/Jun/20 1:41 PM
SWDEV-240186,1623362,[Gibraltar] 157074199 Add error retrieval for Libgv initialization failures,"CST,",Gibraltar,MUST_FIX,,,,10/Jun/20 1:25 PM,
SWDEV-240177,1623313,158019587 libgv is updating static bus info in sysfs,"CST,",Gibraltar,,,,16/Jun/20 1:50 PM,10/Jun/20 12:31 PM,16/Jun/20 1:00 PM
SWDEV-240042,1622504, 158339029 The ggp-bundle 20200325 causes DOOM to perf lower than earlier 20190819 version,"CST,",Gibraltar,,,,,09/Jun/20 3:54 PM,
SWDEV-239846,1621401,[Gibraltar] 158513053 - heap error in smi_init_test ,"CST,",Gibraltar,MUST_FIX,,,18/Aug/20 1:20 PM,08/Jun/20 6:10 PM,
SWDEV-238024,1610411,[Gibraltar]  157500578 Unable to run xgemm due to SMU stuck messages,"CST,",Gibraltar,NicetoHave,,,,26/May/20 8:07 PM,24/Jul/20 10:12 AM
SWDEV-237942,1610126,[Gibraltar] 157479429 Missing v540 GPUs in system,NicetoHave,,,,,,26/May/20 1:10 PM,07/Jul/20 1:58 PM
SWDEV-236909,1603936,[Gibraltar] 156932565 libsmi api for link speed,"CST,",Gibraltar,SMILIB,,,,18/May/20 6:22 PM,09/Jun/20 4:25 AM
SWDEV-236793,1603151,[Gibraltar] 153591620 Please test libgv with CONFIG_GIM_STATIC_ID,"CST,",Gibraltar,,,,,18/May/20 1:36 AM,18/May/20 1:42 AM
SWDEV-236481,1601558,[Gibraltar]  156684071 add link speed to smi pci bus info,"CST,",Gibraltar,,,,19/May/20 5:43 PM,14/May/20 8:18 PM,
