Issue key,Issue id,Summary,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Custom field (Closed Date),Created,Custom field (Rejected Date),Custom field (Triage Category),Custom field (Triage Assignment),Priority,Custom field (Assessed Date),Custom field (Analyzed Date)
SWDEV-257386,1731362,[Gibraltar] 171343171 v540 gpu downtrain or missing on XPE5 ,"CST,",Gibraltar,,,,,,,20/Oct/20 7:47 PM,,Firmware,SMU,Undefined,,
SWDEV-255671,1719874,[Gibraltar] - 170339783 - amdgpu driver locks up during rocBLAS tests run in parallel,"CST,",Gibraltar,GibraltarML-external,,,,,,07/Oct/20 5:41 PM,,Radeon Open Compute,Math Libraries - rocBLAS/hipBLAS,P2 (Must Solve),24/Oct/20 10:49 PM,
SWDEV-255639,1719733,[Gibraltar] 169092288 - libsmi code coverage - fake_sys_wrapper.cpp has 55%,"CST,",Gibraltar,SMILIB,,,,,,07/Oct/20 2:46 PM,,GPU Virtualization,GPUV-SMI-LIB,P2 (Must Solve),22/Oct/20 1:25 PM,22/Oct/20 1:26 PM
SWDEV-255088,1716714,[Gibraltar] 169092301 libsmi code coverage - gpuvsmi_priv.c has 35% coverage,"CST,",Gibraltar,,,,,,,02/Oct/20 4:37 PM,,GPU Virtualization,Linux Guest Base Driver,P2 (Must Solve),22/Oct/20 1:27 PM,22/Oct/20 1:28 PM
SWDEV-254294,1712419,[Gibraltar] 169430148 - build error: no member named 'vf_ids_equal' in namespace,"CST,",Gibraltar,MUST_FIX,SMILIB,,,,09/Oct/20 10:06 PM,28/Sep/20 11:38 AM,,GPU Virtualization,Linux Guest Base Driver,P2 (Must Solve),01/Oct/20 5:15 PM,01/Oct/20 5:16 PM
SWDEV-253949,1709959,Libgv release 2.0.2 should have version reflected in Makefile,"CST,",Gibraltar,,,,,,05/Oct/20 2:31 PM,24/Sep/20 8:30 PM,05/Oct/20 10:26 AM,GPU Virtualization,Linux Guest Base Driver,P2 (Must Solve),,
SWDEV-253733,1708557,[Gibraltar] -  168930299 code quality needs to be improved,"CST,",Gibraltar,MUST_FIX,,,,,,23/Sep/20 2:06 PM,,GPU Virtualization,Linux Guest Base Driver,P2 (Must Solve),30/Sep/20 8:15 PM,30/Sep/20 8:16 PM
SWDEV-253722,1708485,[Gibraltar] 169092376 - libsmi code coverage - lnx_sys_wrapper.c has 0% coverage,"CST,",Gibraltar,SMILIB,,,,,,23/Sep/20 12:44 PM,,GPU Virtualization,Linux Guest Base Driver,P2 (Must Solve),22/Oct/20 1:29 PM,22/Oct/20 1:31 PM
SWDEV-253550,1707672,[Gibraltar][169179245] Kernel driver in rock-dkms 3.8 fails to build with Linux kernel 5.7.17,"CST,",Gibraltar,,,,,,,22/Sep/20 6:25 PM,,Radeon Open Compute,Kernel,P2 (Must Solve),09/Oct/20 10:37 PM,09/Oct/20 10:47 PM
SWDEV-253298,1706189,[Gibraltar]  169056417 - [libgv]boot log spam - gim error libgv: [c1:0:0][PF][amdgv_ih_iv_ring_entry_process:303] Invalid value(37),"CST,",Gibraltar,,,,,,22/Oct/20 11:15 PM,21/Sep/20 1:04 PM,,GPU Virtualization,Linux Guest Base Driver,P3 (Solution Desired),08/Oct/20 8:11 PM,20/Oct/20 8:26 AM
