tensor([1.3713, 1.3076, 0.4940,  ..., 0.4024, 1.7918, 1.0686], device='cuda:0')
tensor([1.3713, 1.3076, 0.4940,  ..., 0.4024, 1.7918, 1.0686], device='cuda:0')
The maximum difference between torch and triton is 0.0
vector-add-performance:
           size      Triton       Torch
0        4096.0   14.355140   14.912622
1        8192.0   30.117648   31.030304
2       16384.0   57.962264   58.514286
3       32768.0   95.626467   93.090908
4       65536.0  157.538467  162.754967
5      131072.0  234.057145  230.220145
6      262144.0  299.707322  287.438585
7      524288.0  337.814428  316.599027
8     1048576.0  361.411758  357.144414
9     2097152.0  378.274171  375.206126
10    4194304.0  386.928415  386.168422
11    8388608.0  392.333248  392.578071
12   16777216.0  393.437297  394.919112
13   33554432.0  394.943862  396.549515
14   67108864.0  395.589537  397.319551
15  134217728.0  395.757510  397.727701
