env_timer: :3:rocdevice.cpp            :416 : 120610546960 us: 9585 : [tid:0x7f731ef6d080] Initializing HSA stack.
:3:comgrctx.cpp             :33  : 120610631827 us: 9585 : [tid:0x7f731ef6d080] Loading COMGR library.
:3:rocdevice.cpp            :207 : 120610631881 us: 9585 : [tid:0x7f731ef6d080] Numa selects cpu agent[0]=0x22102a0(fine=0x2227440,coarse=0x2301160) for gpu agent=0x2304a70
:3:rocdevice.cpp            :1611: 120610632117 us: 9585 : [tid:0x7f731ef6d080] HMM support: 1, xnack: 0, direct host access: 0

:4:rocdevice.cpp            :1918: 120610632489 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa host memory 0x7f7213a00000, size 0x101000
:4:rocdevice.cpp            :1918: 120610632883 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa host memory 0x7f7213800000, size 0x101000
:4:rocdevice.cpp            :2054: 120610633002 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa device memory 0x7f7213400000, size 0x100000
:3:rocdevice.cpp            :207 : 120610633034 us: 9585 : [tid:0x7f731ef6d080] Numa selects cpu agent[0]=0x22102a0(fine=0x2227440,coarse=0x2301160) for gpu agent=0x2394410
:3:rocdevice.cpp            :1611: 120610633168 us: 9585 : [tid:0x7f731ef6d080] HMM support: 1, xnack: 0, direct host access: 0

:4:rocdevice.cpp            :1918: 120610633475 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa host memory 0x7f7213200000, size 0x101000
:4:rocdevice.cpp            :1918: 120610633850 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa host memory 0x7f7213000000, size 0x101000
:4:rocdevice.cpp            :2054: 120610633957 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa device memory 0x7f7212c00000, size 0x100000
:3:rocdevice.cpp            :207 : 120610633986 us: 9585 : [tid:0x7f731ef6d080] Numa selects cpu agent[0]=0x22102a0(fine=0x2227440,coarse=0x2301160) for gpu agent=0x23987c0
:3:rocdevice.cpp            :1611: 120610634103 us: 9585 : [tid:0x7f731ef6d080] HMM support: 1, xnack: 0, direct host access: 0

:4:rocdevice.cpp            :1918: 120610634434 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa host memory 0x7f7212a00000, size 0x101000
:4:rocdevice.cpp            :1918: 120610634797 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa host memory 0x7f7212800000, size 0x101000
:4:rocdevice.cpp            :2054: 120610634906 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa device memory 0x7f7212400000, size 0x100000
:3:rocdevice.cpp            :207 : 120610634935 us: 9585 : [tid:0x7f731ef6d080] Numa selects cpu agent[0]=0x22102a0(fine=0x2227440,coarse=0x2301160) for gpu agent=0x239cba0
:3:rocdevice.cpp            :1611: 120610635049 us: 9585 : [tid:0x7f731ef6d080] HMM support: 1, xnack: 0, direct host access: 0

:4:rocdevice.cpp            :1918: 120610635081 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa host memory 0x7f731edcc000, size 0xa0
:4:rocdevice.cpp            :1918: 120610635407 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa host memory 0x7f7212200000, size 0x101000
:4:rocdevice.cpp            :1918: 120610635774 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa host memory 0x7f7212000000, size 0x101000
:4:rocdevice.cpp            :2054: 120610635863 us: 9585 : [tid:0x7f731ef6d080] Allocate hsa device memory 0x7f7211c00000, size 0x100000
