env_timer: :3:rocdevice.cpp            :416 : 120608197648 us: 9417 : [tid:0x7f1bb9371080] Initializing HSA stack.
:3:comgrctx.cpp             :33  : 120608282359 us: 9417 : [tid:0x7f1bb9371080] Loading COMGR library.
:3:rocdevice.cpp            :207 : 120608282413 us: 9417 : [tid:0x7f1bb9371080] Numa selects cpu agent[0]=0x17362a0(fine=0x174d440,coarse=0x1826fa0) for gpu agent=0x182a970
:3:rocdevice.cpp            :1611: 120608282656 us: 9417 : [tid:0x7f1bb9371080] HMM support: 1, xnack: 0, direct host access: 0

:4:rocdevice.cpp            :1918: 120608283021 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa host memory 0x7f1aade00000, size 0x101000
:4:rocdevice.cpp            :1918: 120608283425 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa host memory 0x7f1aadc00000, size 0x101000
:4:rocdevice.cpp            :2054: 120608283536 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa device memory 0x7f1aad800000, size 0x100000
:3:rocdevice.cpp            :207 : 120608283567 us: 9417 : [tid:0x7f1bb9371080] Numa selects cpu agent[0]=0x17362a0(fine=0x174d440,coarse=0x1826fa0) for gpu agent=0x18ba330
:3:rocdevice.cpp            :1611: 120608283688 us: 9417 : [tid:0x7f1bb9371080] HMM support: 1, xnack: 0, direct host access: 0

:4:rocdevice.cpp            :1918: 120608283991 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa host memory 0x7f1aad600000, size 0x101000
:4:rocdevice.cpp            :1918: 120608284382 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa host memory 0x7f1aad400000, size 0x101000
:4:rocdevice.cpp            :2054: 120608284492 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa device memory 0x7f1aad000000, size 0x100000
:3:rocdevice.cpp            :207 : 120608284519 us: 9417 : [tid:0x7f1bb9371080] Numa selects cpu agent[0]=0x17362a0(fine=0x174d440,coarse=0x1826fa0) for gpu agent=0x18be6c0
:3:rocdevice.cpp            :1611: 120608284636 us: 9417 : [tid:0x7f1bb9371080] HMM support: 1, xnack: 0, direct host access: 0

:4:rocdevice.cpp            :1918: 120608284933 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa host memory 0x7f1aace00000, size 0x101000
:4:rocdevice.cpp            :1918: 120608285314 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa host memory 0x7f1aacc00000, size 0x101000
:4:rocdevice.cpp            :2054: 120608285416 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa device memory 0x7f1aac800000, size 0x100000
:3:rocdevice.cpp            :207 : 120608285449 us: 9417 : [tid:0x7f1bb9371080] Numa selects cpu agent[0]=0x17362a0(fine=0x174d440,coarse=0x1826fa0) for gpu agent=0x18c2a80
:3:rocdevice.cpp            :1611: 120608285564 us: 9417 : [tid:0x7f1bb9371080] HMM support: 1, xnack: 0, direct host access: 0

:4:rocdevice.cpp            :1918: 120608285597 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa host memory 0x7f1bb91d0000, size 0xa0
:4:rocdevice.cpp            :1918: 120608285903 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa host memory 0x7f1aac600000, size 0x101000
:4:rocdevice.cpp            :1918: 120608286310 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa host memory 0x7f1aac400000, size 0x101000
:4:rocdevice.cpp            :2054: 120608286436 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa device memory 0x7f17a7600000, size 0x100000
:4:runtime.cpp              :83  : 120608286443 us: 9417 : [tid:0x7f1bb9371080] init
:3:hip_context.cpp          :50  : 120608286445 us: 9417 : [tid:0x7f1bb9371080] Direct Dispatch: 1
:4:rocdevice.cpp            :2054: 120608286677 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa device memory 0x7f1727400000, size 0x80000000
:3:rocdevice.cpp            :2093: 120608286682 us: 9417 : [tid:0x7f1bb9371080] device=0x18c9a20, freeMem_ = 0x7f000000
:3:hip_memory.cpp           :496 : 120608286689 us: 9417 : [tid:0x7f1bb9371080] hipMalloc: Returned hipSuccess : 0x7f1727400000
:3:hip_memory.cpp           :537 : 120608286698 us: 9417 : [tid:0x7f1bb9371080] [32mhipFree ( 0x7f1727400000 )[0m
:3:rocdevice.cpp            :2686: 120608286709 us: 9417 : [tid:0x7f1bb9371080] number of allocated hardware queues with low priority: 0, with normal priority: 0, with high priority: 0, maximum per priority is: 4
:3:rocdevice.cpp            :2757: 120608309592 us: 9417 : [tid:0x7f1bb9371080] created hardware queue 0x7f1bb91c0000 with size 4096 with priority 1, cooperative: 0
:4:rocdevice.cpp            :1918: 120608309779 us: 9417 : [tid:0x7f1bb9371080] Allocate hsa host memory 0x7f1aadb00000, size 0x80000
:3:devprogram.cpp           :2675: 120608451019 us: 9417 : [tid:0x7f1bb9371080] Using Code Object V4.
:3:devprogram.cpp           :2978: 120608452147 us: 9417 : [tid:0x7f1bb9371080] For Init/Fini: Kernel Name: __amd_rocclr_copyBufferAligned
