"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",4,266157302,66539325,80.4405783842599
"hsa_queue_create",4,56973682,14243420,17.2191253004244
"hsa_amd_memory_pool_allocate",19,3622202,190642,1.0947361643477396
"hsa_system_get_info",2039,1289781,632,0.38980981866516334
"hsa_amd_agents_allow_access",14,704462,50318,0.21290917177140792
"hsa_executable_load_agent_code_object",2,444863,222431,0.13445070547700777
"hsa_executable_destroy",1,438693,438693,0.13258594969198376
"hsa_executable_freeze",2,285375,142687,0.08624873292564472
"hsa_signal_create",204,261056,1279,0.07889881462159302
"hsa_agent_get_info",214,227075,1061,0.06862875524867552
"hsa_amd_memory_lock_to_pool",5,115159,23031,0.034804442698149175
"hsa_system_get_major_extension_table",3,113148,37716,0.034196659248605696
"hsa_code_object_reader_create_from_memory",2,54549,27274,0.016486314962281187
"hsa_isa_get_info_alt",8,45600,5700,0.013781663500339552
"hsa_amd_memory_pool_get_info",64,22559,352,0.00681799444965263
"hsa_signal_load_relaxed",23,15460,672,0.004672467493755471
"hsa_amd_profiling_get_dispatch_time",2,13410,6705,0.004052897095165644
"hsa_amd_agent_iterate_memory_pools",15,12780,852,0.0038624925336477956
"hsa_amd_agent_memory_pool_get_info",32,11860,370,0.0035844414279391904
"hsa_executable_get_symbol_by_name",18,10720,595,0.0032398998404307017
"hsa_executable_create_alt",2,10330,5165,0.0031220303499672713
"hsa_amd_signal_async_handler",4,9100,2275,0.0027502881108133754
"hsa_executable_symbol_get_info",18,6360,353,0.0019221793829420953
"hsa_signal_store_screlease",6,5070,845,0.001532303376024595
"hsa_amd_profiling_set_profiler_enabled",4,4360,1090,0.0013177204574886063
"hsa_signal_silent_store_relaxed",6,3510,585,0.0010608254141708734
"hsa_queue_add_write_index_screlease",6,2830,471,0.0008553093795166871
"hsa_iterate_agents",2,2390,1195,0.0007223284159169194
"hsa_queue_load_read_index_relaxed",6,2370,395,0.0007162838266623846
"hsa_amd_profiling_async_copy_enable",3,2280,760,0.0006890831750169776
"hsa_queue_load_read_index_scacquire",6,2060,343,0.0006225926932170938
"hsa_amd_memory_pool_free",1,1790,1790,0.0005409907382808727
"hsa_agent_iterate_isas",4,1700,425,0.0005137900866354657
"hsa_code_object_reader_destroy",1,540,540,0.00016320390987244207
