"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",3,100449503,33483167,66.83852003147715
"hsa_signal_wait_scacquire",3,40009129,13336376,26.621843714930606
"hsa_amd_memory_pool_allocate",11,2895644,263240,1.9267448192155474
"hsa_amd_agents_allow_access",8,2549260,318657,1.696262903117036
"hsa_system_get_info",2027,2244068,1107,1.4931899062755625
"hsa_executable_load_agent_code_object",2,786502,393251,0.5233338952587633
"hsa_executable_freeze",2,363191,181595,0.2416651969771539
"hsa_signal_create",122,243564,1996,0.16206608103324013
"hsa_amd_memory_lock_to_pool",3,171003,57001,0.11378441007261814
"hsa_agent_get_info",117,166766,1425,0.1109651347062346
"hsa_system_get_major_extension_table",3,103900,34633,0.06913446083720767
"hsa_executable_destroy",1,78823,78823,0.052448369649386144
"hsa_code_object_reader_create_from_memory",2,37632,18816,0.02504011578658132
"hsa_isa_get_info_alt",4,25077,6269,0.01668609118782153
"hsa_amd_memory_pool_get_info",40,24522,613,0.01631679738835425
"hsa_amd_agent_iterate_memory_pools",11,21143,1922,0.014068430274120133
"hsa_agent_iterate_isas",2,13485,6742,0.008972841235704961
"hsa_signal_load_relaxed",18,13452,747,0.008950883226006907
"hsa_executable_get_symbol_by_name",16,13150,821,0.008749934167558045
"hsa_executable_symbol_get_info",16,10066,629,0.0066978583521398695
"hsa_executable_create_alt",2,7906,3953,0.005260606808267217
"hsa_amd_signal_async_handler",3,7632,2544,0.005078288788350038
"hsa_amd_agent_memory_pool_get_info",12,7374,614,0.004906617076165249
"hsa_amd_profiling_get_dispatch_time",2,6790,3395,0.004518026843933013
"hsa_iterate_agents",2,5922,2961,0.003940464649450855
"hsa_signal_store_screlease",5,5092,1018,0.003388187435833123
"hsa_queue_add_write_index_screlease",5,4269,853,0.0028405679818483114
"hsa_signal_silent_store_relaxed",5,4261,852,0.0028352448279821167
"hsa_amd_profiling_async_copy_enable",3,4174,1391,0.002777355529687246
"hsa_amd_profiling_set_profiler_enabled",3,3682,1227,0.0024499815669162526
"hsa_queue_load_read_index_relaxed",5,3277,655,0.0021804969024401305
"hsa_queue_load_read_index_scacquire",5,3139,627,0.0020886724982482666
"hsa_amd_memory_pool_free",1,2226,2226,0.001481167563268761
"hsa_code_object_reader_destroy",1,1221,1221,0.0008124463588280132
