"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",3,66262036,22087345,50.352866927472725
"hsa_queue_create",4,56999709,14249927,43.31437630714621
"hsa_amd_memory_pool_allocate",19,4275511,225026,3.2489831195338734
"hsa_system_get_info",2039,1303216,639,0.9903206388912241
"hsa_executable_destroy",1,536642,536642,0.40779705612566475
"hsa_amd_agents_allow_access",14,501093,35792,0.3807831855225229
"hsa_executable_load_agent_code_object",2,440102,220051,0.3344358063569704
"hsa_executable_freeze",2,321645,160822,0.24441971392015427
"hsa_signal_create",204,253827,1244,0.19288446182969113
"hsa_agent_get_info",214,233685,1091,0.17757845092394178
"hsa_amd_memory_lock_to_pool",5,124188,24837,0.09437110924253796
"hsa_system_get_major_extension_table",3,106708,35569,0.0810879660277381
"hsa_code_object_reader_create_from_memory",2,55290,27645,0.04201515951637778
"hsa_isa_get_info_alt",8,48860,6107,0.037128968963107585
"hsa_amd_memory_pool_get_info",64,22579,352,0.017157899922595296
"hsa_executable_create_alt",2,13810,6905,0.01049429106386647
"hsa_signal_load_relaxed",19,13550,713,0.010296715707124595
"hsa_amd_agent_iterate_memory_pools",15,13080,872,0.009939560254552745
"hsa_amd_agent_memory_pool_get_info",32,11430,357,0.008685716644460084
"hsa_executable_get_symbol_by_name",18,10750,597,0.008168981096058259
"hsa_amd_profiling_get_dispatch_time",2,10409,5204,0.007909853416639108
"hsa_executable_symbol_get_info",18,6500,361,0.004939383918546854
"hsa_amd_signal_async_handler",3,4750,1583,0.0036095497866303933
"hsa_amd_profiling_set_profiler_enabled",4,4620,1155,0.0035107621082594563
"hsa_signal_store_screlease",5,4399,879,0.003342823055028863
"hsa_signal_silent_store_relaxed",5,2890,578,0.002196126080707755
"hsa_queue_add_write_index_screlease",5,2480,496,0.0018845649412301843
"hsa_iterate_agents",2,2400,1200,0.001823772523771146
"hsa_amd_profiling_async_copy_enable",3,2370,790,0.0018009753672240066
"hsa_queue_load_read_index_relaxed",5,1830,366,0.001390626549375499
"hsa_agent_iterate_isas",4,1760,440,0.0013374331840988404
"hsa_queue_load_read_index_scacquire",5,1750,350,0.0013298341319164606
"hsa_amd_memory_pool_free",1,1490,1490,0.0011322587751745865
