"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",3,54322027,18107342,50.04425231886388
"hsa_queue_create",3,46902054,15634018,43.20859058976167
"hsa_amd_memory_pool_allocate",17,3334255,196132,3.0716876326325875
"hsa_system_get_info",2033,1289595,634,1.1880414103314898
"hsa_amd_agents_allow_access",12,592183,49348,0.5455495147657463
"hsa_executable_destroy",1,528512,528512,0.48689250645134047
"hsa_executable_load_agent_code_object",2,452662,226331,0.4170155753422376
"hsa_executable_freeze",2,318615,159307,0.29352456697859997
"hsa_agent_get_info",213,227667,1068,0.20973857976026528
"hsa_signal_create",124,170208,1372,0.15680438615976508
"hsa_system_get_major_extension_table",3,102739,34246,0.09464846440630348
"hsa_amd_memory_lock_to_pool",3,76469,25489,0.07044718582705323
"hsa_code_object_reader_create_from_memory",2,54790,27395,0.05047537317689843
"hsa_isa_get_info_alt",8,43970,5496,0.04050743125731382
"hsa_amd_memory_pool_get_info",64,22530,352,0.02075579773089107
"hsa_signal_load_relaxed",18,13019,723,0.011993774108232172
"hsa_amd_agent_iterate_memory_pools",15,12830,855,0.011819657562686747
"hsa_amd_agent_memory_pool_get_info",32,11300,353,0.010410142670176169
"hsa_executable_get_symbol_by_name",18,10870,603,0.010014004497771234
"hsa_executable_create_alt",2,10570,5285,0.009737629028651513
"hsa_amd_profiling_get_dispatch_time",2,9710,4855,0.008945352683841645
"hsa_executable_symbol_get_info",18,6260,347,0.005767034788964851
"hsa_signal_store_screlease",5,5610,1122,0.005168221272538788
"hsa_amd_signal_async_handler",3,4769,1589,0.004393448707439836
"hsa_amd_profiling_async_copy_enable",3,3950,1316,0.003638943676742997
"hsa_signal_silent_store_relaxed",5,3420,684,0.0031506803479648226
"hsa_amd_profiling_set_profiler_enabled",3,3340,1113,0.0030769802228662302
"hsa_queue_add_write_index_screlease",5,3240,648,0.0029848550664929897
"hsa_iterate_agents",2,2360,1180,0.002174153690408474
"hsa_queue_load_read_index_relaxed",5,2160,432,0.001989903377661993
"hsa_amd_memory_pool_free",1,1840,1840,0.001695102877267624
"hsa_queue_load_read_index_scacquire",5,1730,346,0.0015937652052570594
"hsa_agent_iterate_isas",4,1710,427,0.0015753401739824113
"hsa_code_object_reader_destroy",1,1020,1020,0.0009396765950070524
